registerNum,country1,country2,dateBegan,dateEnded,durationDays,peopleDead,peopleDisplaced,damageUsd,mainCause1,mainCause2,mainCause3,severity,affectedSqKm,magnitude,centroidX,centroidY
2143,Australia,,1/26/2003,2/4/2003,10,0,0,,Heavy Rain,,,large,294622.26,6.469265557,118.212,-22.4964
2142,Indonesia,,1/25/2003,2/6/2003,13,3,20000,,Heavy Rain,,,large,27341.22,5.550761242,102.452,-0.112857
2141,Australia,,1/25/2003,2/4/2003,11,0,0,,Heavy Rain,,,large,1861.91,4.31135137,145.86,-17.2994
2140,Italy,,1/25/2003,1/27/2003,3,1,1000,,Heavy Rain,,,large,28756,4.93584973,15.9205,41.3473
2139,Tunisia,,1/25/2003,1/26/2003,2,2,0,,Heavy Rain,,,large,3621.72,3.859944867,9.36896,36.0582
2138,Peru,,1/23/2003,2/10/2003,19,7,12000,,Heavy Rain,,,large,78942.02,6.176061836,-70.4323,-13.3744
2137,Australia,,1/22/2003,3/6/2003,44,0,0,2000000,Heavy Rain,,,large,166298.58,6.864341217,139.397,-17.9301
2136,United Kingdom,,1/22/2003,1/23/2003,2,0,0,,Heavy Rain,,,large,292.004,2.766418796,-2.49865,57.049
2135,Israel,,1/21/2003,1/22/2003,2,0,0,,Heavy Rain,,,large,333.722,2.824414833,34.8066,32.0541
2134,Malaysia,,1/20/2003,2/10/2003,22,1,1500,,Heavy Rain,,,large,2994.31,4.818719442,102.894,2.4676
2133,Madagascar,,1/18/2003,1/31/2003,14,16,25000,150000000,Heavy Rain,,,large,189697.31,6.424189208,46.8211,-20.9917
2132,Bolivia,,1/21/2003,1/22/2003,2,4,300,,Heavy Rain,,,large,212.606,2.628605512,-68.1304,-16.4938
2131,Brazil,,1/14/2003,1/24/2003,11,44,10000,,Heavy Rain,,,large,6742.45,4.87021042,-43.823,-19.7931
2130,Argentina,,1/13/2003,1/31/2003,19,0,0,,Heavy Rain,,,large,60476.42,6.060339675,-60.9786,-29.4558
2129,Tunisia,,1/14/2003,1/16/2003,3,8,27000,,Heavy Rain,,,large,27682.21,4.919322014,9.4368,36.481
2128,Afghanistan,,1/14/2003,1/20/2003,7,0,300,,Heavy Rain,,,large,1672.7,4.068516097,67.1814,37.282
2127,Indonesia,,1/14/2003,2/6/2003,24,0,30000,,Heavy Rain,,,extreme,9362.83,5.652648375,113.005,-2.42875
2126,Fiji,,1/14/2003,1/16/2003,3,15,0,,Heavy Rain,,,large,1873.41,3.749754089,179.528,-16.4711
2125,Malaysia,,1/12/2003,1/15/2003,4,0,500,,Heavy Rain,,,large,14318.2,4.757948416,111.881,2.25216
2124,Brazil,,1/11/2003,2/4/2003,25,29,16000,,Heavy Rain,,,large,115919.99,6.462098344,-43.1439,-22.4922
2123,New Zealand,,1/8/2003,1/11/2003,4,0,0,,Heavy Rain,,,large,4201.56,4.225470561,175.631,-37.1744
2122,Macedonia,,1/8/2003,1/10/2003,3,0,0,,Heavy Rain,,,large,878.617,3.420920857,21.6243,42.0601
2121,United States,,1/4/2003,1/8/2003,5,0,0,,Snow/Ice Melt,,,large,1681.67,3.924710781,-147.248,64.6959
2120,Bolivia,,1/3/2003,1/8/2003,6,1,6000,,Heavy Rain,,,large,19475.5,5.067639867,-64.945,-16.4857
2119,Malawi,Mozambique,1/1/2003,2/17/2003,48,23,400000,,Heavy Rain,,,large,410708.54,7.294774971,38.8747,-14.7661
2118,Kenya,,1/4/2003,1/6/2003,3,0,300,,Heavy Rain,,,large,396.349,3.075199022,34.8513,-0.10174
2117,Germany,Portugal,1/1/2003,1/8/2003,8,7,1500,,Heavy Rain,,,large,259752.89,6.317650375,5.62514,49.2074
2116,United Kingdom,,1/1/2003,1/6/2003,6,0,0,,Heavy Rain,,,large,48599.81,5.464785822,-0.543564,51.2646
2115,United States,,1/1/2003,1/6/2003,6,0,0,,Heavy Rain,,,large,457677.64,6.438710946,-92.6206,31.8332
2114,Vanuatu,,12/21/2002,12/25/2002,5,0,0,,Heavy Rain,,,large,146.379,2.86444878,169.432,-19.5723
2113,United States,,12/28/2002,12/31/2002,4,0,0,,Heavy Rain,,,large,20634.73,4.916658782,-124.001,40.2055
2112,Malaysia,,12/27/2002,12/29/2002,3,0,0,,Heavy Rain,,,large,898.687,3.430729714,101.909,2.59221
2111,Indonesia,,12/26/2002,12/31/2002,6,24,10000,,Heavy Rain,,,large,14760.78,4.947260558,104.218,-4.65996
2110,Angola,,12/23/2002,12/25/2002,3,4,40,,Heavy Rain,,,large,2796.27,3.923700358,13.3141,-8.95956
2109,South Africa,,12/21/2002,12/24/2002,4,0,50,,Heavy Rain,,,large,787.683,3.498411464,19.9104,-33.3966
2108,Kenya,,12/21/2002,12/23/2002,3,6,3000,,Heavy Rain,,,large,751.122,3.352831737,35.9643,0.498246
2107,Lebanon,,12/20/2002,12/22/2002,3,0,300,,Heavy Rain,,,large,4108.64,4.090819345,35.6163,33.6966
